Başlık,Not,URL,Etiketler,Yorum
Aqua Club Dolphin,,https://www.google.com/maps/place/Aqua+Club+Dolphin/data=!4m2!3m1!1s0x14caa75ee590bdfb:0x4ff2d122a92ba2c5,,
Moipark,,https://www.google.com/maps/place/Moipark/data=!4m2!3m1!1s0x14caa59eb59f9b61:0xca4e3983ff58d076,,
Olimpik Gokart,,https://www.google.com/maps/place/Olimpik+Gokart/data=!4m2!3m1!1s0x14cabacca657668b:0x9e33b190ef357bf9,,
Venezia Mega Outlet,,https://www.google.com/maps/place/Venezia+Mega+Outlet/data=!4m2!3m1!1s0x14cab025c4de7167:0xb112f4f1997a82d6,,
"Nezahat Gökyiğit Botanik Bahçesi, Ümraniye Girişi",,"https://www.google.com/maps/place/Nezahat+G%C3%B6kyi%C4%9Fit+Botanik+Bah%C3%A7esi,+%C3%9Cmraniye+Giri%C5%9Fi/data=!4m2!3m1!1s0x14cacf08b739808d:0x51009c77ac247cd6",,
Counter Laser Tag,,https://www.google.com/maps/place/Counter+Laser+Tag/data=!4m2!3m1!1s0x14cac5888ad8f513:0xc3a92fd705f15a02,,
Tuzla Karting Park,,https://www.google.com/maps/place/Tuzla+Karting+Park/data=!4m2!3m1!1s0x14cadc041552c0c7:0x2bd9a8124b699515,,
Marina Aquapark,,https://www.google.com/maps/place/Marina+Aquapark/data=!4m2!3m1!1s0x14cadd5c4b9dffc5:0xaa1ae2ab41521f08,,
LEGOLAND Discovery Centre Istanbul,,https://www.google.com/maps/place/LEGOLAND+Discovery+Centre+Istanbul/data=!4m2!3m1!1s0x14caba86aaaaaaab:0x92bce2601ccae96d,,
Sea Life Akvaryum Forum İstanbul,,https://www.google.com/maps/place/Sea+Life+Akvaryum+Forum+%C4%B0stanbul/data=!4m2!3m1!1s0x14caba8542618be5:0xc8239ab178df9250,,
"Park Of İstanbul Doğa ve Yaşam Kompleksi | Çekmeköy Hayvan Rehabilitasyon 
Merkezi",,https://www.google.com/maps/place/Park+Of+%C4%B0stanbul+Do%C4%9Fa+ve+Ya%C5%9Fam+Kompleksi+%7C+%C3%87ekmek%C3%B6y+Hayvan+Rehabilitasyon+%0AMerkezi/data=!4m2!3m1!1s0x14cad3f7ef2dc90f:0xade1ee3b25d803b8,,
Macera Kulesi,,https://www.google.com/maps/place/Macera+Kulesi/data=!4m2!3m1!1s0x14cabb6b57930879:0x44addcdd54d9e2e1,,
Florya leroz eğlence merkezi,,https://www.google.com/maps/place/Florya+leroz+e%C4%9Flence+merkezi/data=!4m2!3m1!1s0x14caa3c0b9136023:0xf8826c4c121f0356,,
İstanbul Akvaryum,,https://www.google.com/maps/place/%C4%B0stanbul+Akvaryum/data=!4m2!3m1!1s0x14caa3cb2fd155eb:0x74ab96869afb4754,,
Kahve Dünyası Fabrika - Veliefendi,,https://www.google.com/maps/place/Kahve+D%C3%BCnyas%C4%B1+Fabrika+-+Veliefendi/data=!4m2!3m1!1s0x14cabc9fe0898c7f:0x9976920c28543617,,
