Başlık,Not,URL,Etiketler,Yorum
Das Haus des Döners,,https://www.google.com/maps/place/Das+Haus+des+D%C3%B6ners/data=!4m2!3m1!1s0x14cab90002d5dc81:0x308dc418a3a7c7c4,,
Maydonoz Döner Osmanbey,,https://www.google.com/maps/place/Maydonoz+D%C3%B6ner+Osmanbey/data=!4m2!3m1!1s0x14cab72c16e18e7b:0x589590a8ddfeab42,,
Buuzecedi Restoran,,https://www.google.com/maps/place/Buuzecedi+Restoran/data=!4m2!3m1!1s0x14cabba2030dbbc9:0x601f9d3f0c792098,,
Levny Kitchen,,https://www.google.com/maps/place/Levny+Kitchen/data=!4m2!3m1!1s0x14cabb5a3c3fb7ff:0xd112be3671cb3f3d,,
ORIGINAL AMERICAN TASTE MAC&CHEESE,,https://www.google.com/maps/place/ORIGINAL+AMERICAN+TASTE+MAC%26CHEESE/data=!4m2!3m1!1s0x14cab90e994c8179:0xb2f0a53f9e1c4716,,
Kvarts coffee,,https://www.google.com/maps/place/Kvarts+coffee/data=!4m2!3m1!1s0x40440d119167dedb:0x65c78b804f907360,,
Habbi Kebap Dürüm,,https://www.google.com/maps/place/Habbi+Kebap+D%C3%BCr%C3%BCm/data=!4m2!3m1!1s0x14cab9339bf25403:0x4a8b33b51f1010df,,
Imbuto,,https://www.google.com/maps/place/Imbuto/data=!4m2!3m1!1s0x14cab9da8d3ad9d1:0x994e57524716a786,,
ÇITIRCIK (Çıtır Tavuk),,https://www.google.com/maps/place/%C3%87ITIRCIK+(%C3%87%C4%B1t%C4%B1r+Tavuk)/data=!4m2!3m1!1s0x14cab8673df6b0c3:0x92d3894a866f84e6,,
KUŞGÖZÜ LAHMACUN,,https://www.google.com/maps/place/KU%C5%9EG%C3%96Z%C3%9C+LAHMACUN/data=!4m2!3m1!1s0x14cab7dd2a0ef13f:0xe53e52cdb0367723,,
KAF Cafe Restoran,,https://www.google.com/maps/place/KAF+Cafe+Restoran/data=!4m2!3m1!1s0x14cac9298e325e15:0xb50efe4b4e5f06de,,
KROREN RESTAURANT LEVENT,,https://www.google.com/maps/place/KROREN+RESTAURANT+LEVENT/data=!4m2!3m1!1s0x14cab7929b25a625:0x9f1e7b07c0a9bf38,,
Kaps Manti,,https://www.google.com/maps/place/Kaps+Manti/data=!4m2!3m1!1s0x14cab905bf6e3801:0x2a33bc5f7fbb55f1,,
Döner Records Akaretler,,https://www.google.com/maps/place/D%C3%B6ner+Records+Akaretler/data=!4m2!3m1!1s0x14cab779372ccd35:0x18c689dca43c83f,,
Nitz Schnitzel & More,,https://www.google.com/maps/place/Nitz+Schnitzel+%26+More/data=!4m2!3m1!1s0x14cab9fbc3b1be83:0x636036a5038564bc,,
Çin Büfe,,https://www.google.com/maps/place/%C3%87in+B%C3%BCfe/data=!4m2!3m1!1s0x14cab760fe84ea1d:0x8b2680edffed5870,,
3MONKEY BURGER,,https://www.google.com/maps/place/3MONKEY+BURGER/data=!4m2!3m1!1s0x14cac7f6a225b517:0x725bbdec9938f95a,,
MantıGo,,https://www.google.com/maps/place/Mant%C4%B1Go/data=!4m2!3m1!1s0x14cab7f94fc4d777:0xb59ef64ceb549c2c,,
Swivel Cafe & Bakery,,https://www.google.com/maps/place/Swivel+Cafe+%26+Bakery/data=!4m2!3m1!1s0x14cab93a33f1e299:0x9c20fd47a879b89d,,
Pizza Krema Akaretler,,https://www.google.com/maps/place/Pizza+Krema+Akaretler/data=!4m2!3m1!1s0x14cab76f7a8435c1:0xe2a4dde979eec9bf,,
Balkan Lokantası,,https://www.google.com/maps/place/Balkan+Lokantas%C4%B1/data=!4m2!3m1!1s0x14cab7a23d949653:0x2ef2617304fea963,,
