Başlık,Not,URL,Etiketler,Yorum
Mardin Kalesi,,https://www.google.com/maps/place/Mardin+Kalesi/data=!4m2!3m1!1s0x400a889527bc8f23:0x7be56abe777f7be0,,
Zinciriye Medresesi,,https://www.google.com/maps/place/Zinciriye+Medresesi/data=!4m2!3m1!1s0x400a88c069f8abbd:0xfdc48c42e8244a80,,
Sıti Radviyye-hatuniye Medresesi,,https://www.google.com/maps/place/S%C4%B1ti+Radviyye-hatuniye+Medresesi/data=!4m2!3m1!1s0x400a88e9be8dc209:0x3583f906b06e3463,,
Sakıp Sabancı Mardin Kent Müzesi,,https://www.google.com/maps/place/Sak%C4%B1p+Sabanc%C4%B1+Mardin+Kent+M%C3%BCzesi/data=!4m2!3m1!1s0x400a88e98b70db65:0xabc113ee85f49cc,,
Eski Ptt Binası - Mardin,,https://www.google.com/maps/place/Eski+Ptt+Binas%C4%B1+-+Mardin/data=!4m2!3m1!1s0x400a890022ddd2b7:0xaa0564d564fb9a48,,
İzla Pizzeria Midyat,,https://www.google.com/maps/place/%C4%B0zla+Pizzeria+Midyat/data=!4m2!3m1!1s0x400a392c256ab14f:0xb8cd254c68dbaa8e,,
Tarihi Sultan Sofrası,,https://www.google.com/maps/place/Tarihi+Sultan+Sofras%C4%B1/data=!4m2!3m1!1s0x400a88c013c5fe69:0x19d19e575df9913,,
Marianin yeri,,https://www.google.com/maps/place/Marianin+yeri/data=!4m2!3m1!1s0x407521c9fb4f9573:0xe9e4230639b0ceb6,,
MANDARA KONAK HOTEL,,https://www.google.com/maps/place/MANDARA+KONAK+HOTEL/data=!4m2!3m1!1s0x400a8975c9a2fce5:0x423df855ce23aabd,,
Urfa Kapı,,https://www.google.com/maps/place/Urfa+Kap%C4%B1/data=!4m2!3m1!1s0x40752036aff12faf:0x65cb2efb534ff802,,
Surp Giragos Kilisesi,,https://www.google.com/maps/place/Surp+Giragos+Kilisesi/data=!4m2!3m1!1s0x40752047d2281899:0xfef1785e78ab12e1,,
Keçi Burcu,,https://www.google.com/maps/place/Ke%C3%A7i+Burcu/data=!4m2!3m1!1s0x4075204c15ddb14b:0x6fb3de2882704a78,,
Hacıbaba Pastaneleri,,https://www.google.com/maps/place/Hac%C4%B1baba+Pastaneleri/data=!4m2!3m1!1s0x407521aad43b20d1:0xdc8cb9bef183c66d,,
Meşhur Kebapçı Hacı Halid,,https://www.google.com/maps/place/Me%C5%9Fhur+Kebap%C3%A7%C4%B1+Hac%C4%B1+Halid/data=!4m2!3m1!1s0x4074e85555555555:0xcc3b1e17878fbf36,,
Malabadi Köprüsü,,https://www.google.com/maps/place/Malabadi+K%C3%B6pr%C3%BCs%C3%BC/data=!4m2!3m1!1s0x4073552d6cc77e81:0x22d74596db664702,,
Diyarbakır Kalesi ve Arkeoloji Müzesi,,https://www.google.com/maps/place/Diyarbak%C4%B1r+Kalesi+ve+Arkeoloji+M%C3%BCzesi/data=!4m2!3m1!1s0x4075203eb0e359f7:0x8e5115320e4af4a2,,
Diyarbakır Kültür Evi,,https://www.google.com/maps/place/Diyarbak%C4%B1r+K%C3%BClt%C3%BCr+Evi/data=!4m2!3m1!1s0x40752038522ba3ff:0xaa07c7b6e9619817,,
Sülüklü Han,,https://www.google.com/maps/place/S%C3%BCl%C3%BCkl%C3%BC+Han/data=!4m2!3m1!1s0x40752047f1bfd787:0x5e00406689fcbc7c,,
Diyarbakır Arkeoloji Müzesi,,https://www.google.com/maps/place/Diyarbak%C4%B1r+Arkeoloji+M%C3%BCzesi/data=!4m2!3m1!1s0x4075203f11db9def:0x3631e4ada60c525,,
Gazi Köşkü Şark Evi,,https://www.google.com/maps/place/Gazi+K%C3%B6%C5%9Fk%C3%BC+%C5%9Eark+Evi/data=!4m2!3m1!1s0x407521a561ae48a3:0x15b734a1d6f25ffb,,
On Gözlü Köprü,,https://www.google.com/maps/place/On+G%C3%B6zl%C3%BC+K%C3%B6pr%C3%BC/data=!4m2!3m1!1s0x407521a004eaed73:0x5229abd6da318e80,,
Dört Ayaklı Minare,,https://www.google.com/maps/place/D%C3%B6rt+Ayakl%C4%B1+Minare/data=!4m2!3m1!1s0x40752047df146875:0x2a5d7606372b67fc,,
Diyarbakır Surları,,https://www.google.com/maps/place/Diyarbak%C4%B1r+Surlar%C4%B1/data=!4m2!3m1!1s0x4075203ea357c319:0x77d1f0640cdf991,,
Ciğerci Remzi Usta,,https://www.google.com/maps/place/Ci%C4%9Ferci+Remzi+Usta/data=!4m2!3m1!1s0x40752039353bbbfb:0x3bf6e266b3f4c88c,,
Hevsel Bahçeleri,,https://www.google.com/maps/place/Hevsel+Bah%C3%A7eleri/data=!4m2!3m1!1s0x407521ab5c2ad683:0x74c1dd65047229a3,,
Cahit Sıtkı Tarancı Evi Kültür Müzesi,,https://www.google.com/maps/place/Cahit+S%C4%B1tk%C4%B1+Taranc%C4%B1+Evi+K%C3%BClt%C3%BCr+M%C3%BCzesi/data=!4m2!3m1!1s0x407520384e594951:0x8889fbc070078df6,,
Diyarbakır Ulu Camii,,https://www.google.com/maps/place/Diyarbak%C4%B1r+Ulu+Camii/data=!4m2!3m1!1s0x40752038157cb985:0x947682b516993561,,
Hasan Paşa Hanı,,https://www.google.com/maps/place/Hasan+Pa%C5%9Fa+Han%C4%B1/data=!4m2!3m1!1s0x4075203863fe0999:0xe49723172b81117b,,
Tren - Van,,https://www.google.com/maps/place/Tren+-+Van/data=!4m2!3m1!1s0x401271c8ef61e513:0x7e666d0ed635459a,,
Akdamar Adası,,https://www.google.com/maps/place/Akdamar+Adas%C4%B1/data=!4m2!3m1!1s0x400d9a867c1ce409:0x337134c620b93733,,
Erkoç Cağ Kebap Salonu,,https://www.google.com/maps/place/Erko%C3%A7+Ca%C4%9F+Kebap+Salonu/data=!4m2!3m1!1s0x4012708a665cd47f:0x92bff02534d69bc2,,
VAN BEYLERBEYİ AT ÇİFTLİĞİ,,https://www.google.com/maps/place/VAN+BEYLERBEY%C4%B0+AT+%C3%87%C4%B0FTL%C4%B0%C4%9E%C4%B0/data=!4m2!3m1!1s0x40127b22c69d6489:0xa47d38b21ed3f3e2,,
Van Kalesi,,https://www.google.com/maps/place/Van+Kalesi/data=!4m2!3m1!1s0x40127a62e1efb791:0xbbf135f0c8bd932,,
Eski Van Evleri,,https://www.google.com/maps/place/Eski+Van+Evleri/data=!4m2!3m1!1s0x40127a6104b54f1f:0xab9f3e7d1d736eae,,
Van Kedisi Evi,,https://www.google.com/maps/place/Van+Kedisi+Evi/data=!4m2!3m1!1s0x40127a812ead5a7b:0xae26aa3c41973951,,
Muradiye şelalesi,,https://www.google.com/maps/place/Muradiye+%C5%9Felalesi/data=!4m2!3m1!1s0x40131225a06fb661:0x79245f3226dfe38d,,
Erciş lunapark,,https://www.google.com/maps/place/Erci%C5%9F+lunapark/data=!4m2!3m1!1s0x40131f1c5f14d1cb:0xe9bc58d8f5b92ad3,,
Sahil Parkı,,https://www.google.com/maps/place/Sahil+Park%C4%B1/data=!4m2!3m1!1s0x40131f9e65e756ef:0x29215e7c45ab5591,,
HACIOĞLU MEVLANA,,https://www.google.com/maps/place/HACIO%C4%9ELU+MEVLANA/data=!4m2!3m1!1s0x40132168c60e12ed:0x39462167c6dba646,,
People's Coffee Erciş,,https://www.google.com/maps/place/People's+Coffee+Erci%C5%9F/data=!4m2!3m1!1s0x4013205071eeb7c7:0xe8da43e7ac1ad669,,
Erciş Şehit Rıdvan Çevik Devlet Hastanesi,,https://www.google.com/maps/place/Erci%C5%9F+%C5%9Eehit+R%C4%B1dvan+%C3%87evik+Devlet+Hastanesi/data=!4m2!3m1!1s0x4013206231ee0cf3:0x976ce00f75dd5ef,,
Gaziantep Büyükşehir Belediyesi Hayvanat Bahçesi,,https://www.google.com/maps/place/Gaziantep+B%C3%BCy%C3%BCk%C5%9Fehir+Belediyesi+Hayvanat+Bah%C3%A7esi/data=!4m2!3m1!1s0x1531e483abee4c41:0x4eed64e00ae7003e,,
Zeugma Mozaik Müzesi,,https://www.google.com/maps/place/Zeugma+Mozaik+M%C3%BCzesi/data=!4m2!3m1!1s0x1531e6aa7739a5c9:0xb12794a759648b56,,
Saat kulesi,,https://www.google.com/maps/place/Saat+kulesi/data=!4m2!3m1!1s0x407637585e51b533:0x50563ff122d5218,,
Orduzu Tabiat Parkı,,https://www.google.com/maps/place/Orduzu+Tabiat+Park%C4%B1/data=!4m2!3m1!1s0x407637a24a9f0813:0x681d0c2f8cf06ef2,,
GAMEMOOD Kanalboyu Playstation Cafe,,https://www.google.com/maps/place/GAMEMOOD+Kanalboyu+Playstation+Cafe/data=!4m2!3m1!1s0x4076375d1b9f3c3d:0x76bf9cddbcee6bba,,
Atatürk Anıtı,,https://www.google.com/maps/place/Atat%C3%BCrk+An%C4%B1t%C4%B1/data=!4m2!3m1!1s0x407636c254ab733f:0xdba1fede04115afb,,
Mişmiş Park Fuar Alanı,,https://www.google.com/maps/place/Mi%C5%9Fmi%C5%9F+Park+Fuar+Alan%C4%B1/data=!4m2!3m1!1s0x407637a0ecbc138b:0x384a8762da26ea90,,
LC WAIKIKI,,https://www.google.com/maps/place/LC+WAIKIKI/data=!4m2!3m1!1s0x407636c119e73e59:0x841dbd56bb6e5696,,
Beydağı Tabiat Parkı,,https://www.google.com/maps/place/Beyda%C4%9F%C4%B1+Tabiat+Park%C4%B1/data=!4m2!3m1!1s0x40763726ea2f59c3:0xd194730d5a020f61,,
Rüya Et Lokantası,,https://www.google.com/maps/place/R%C3%BCya+Et+Lokantas%C4%B1/data=!4m2!3m1!1s0x4076373d09130de3:0x6e720022ceff891b,,
Kırkgöz Sahil Park,,https://www.google.com/maps/place/K%C4%B1rkg%C3%B6z+Sahil+Park/data=!4m2!3m1!1s0x4077b3a678817c91:0x5e84c884d28c0e6e,,
Hürriyet Parkı,,https://www.google.com/maps/place/H%C3%BCrriyet+Park%C4%B1/data=!4m2!3m1!1s0x407636c2f6364067:0x9a0dca4af1c19f4f,,
Kapuzbaşı,,https://www.google.com/maps/place/Kapuzba%C5%9F%C4%B1/data=!4m2!3m1!1s0x15296dff65038751:0x2c16d5f17c98838,,
Forum Kayseri Alışveriş Merkezi,,https://www.google.com/maps/place/Forum+Kayseri+Al%C4%B1%C5%9Fveri%C5%9F+Merkezi/data=!4m2!3m1!1s0x152b12130b776583:0x539860dc619ea1f9,,
Surp Asdvadzadzin Meryem Ana Kilisesi Araştırma Kütüphanesi,,https://www.google.com/maps/place/Surp+Asdvadzadzin+Meryem+Ana+Kilisesi+Ara%C5%9Ft%C4%B1rma+K%C3%BCt%C3%BCphanesi/data=!4m2!3m1!1s0x152b132531392af9:0xfdc8789d158efbb8,,
Kayseri Kapalı Çarşı,,https://www.google.com/maps/place/Kayseri+Kapal%C4%B1+%C3%87ar%C5%9F%C4%B1/data=!4m2!3m1!1s0x152b120453ff87c9:0x348bc41b95ec6be2,,
Kayseri Arkeoloji Müzesi,,https://www.google.com/maps/place/Kayseri+Arkeoloji+M%C3%BCzesi/data=!4m2!3m1!1s0x152b120ccf70d293:0x5e38616a738e0fc,,
Kayseri Kalesi,,https://www.google.com/maps/place/Kayseri+Kalesi/data=!4m2!3m1!1s0x152b12057ca41113:0x9637b7b83bffabeb,,
Elmacıoğlu İskender Kebap,,https://www.google.com/maps/place/Elmac%C4%B1o%C4%9Flu+%C4%B0skender+Kebap/data=!4m2!3m1!1s0x152b120607264b13:0xb7dd3e2ddbe57987,,
Anadolu Harikalar Diyarı,,https://www.google.com/maps/place/Anadolu+Harikalar+Diyar%C4%B1/data=!4m2!3m1!1s0x152b14ac85f0c3f5:0x8b2e4814f26498b9,,
Ağırnas Yeraltı Şehri,,https://www.google.com/maps/place/A%C4%9F%C4%B1rnas+Yeralt%C4%B1+%C5%9Eehri/data=!4m2!3m1!1s0x152b42e0d6b96c23:0x6e093c87a83a8547,,
Mimar Sinan Evi,,https://www.google.com/maps/place/Mimar+Sinan+Evi/data=!4m2!3m1!1s0x152b42e16e754dad:0x81516717a72ac7e,,
Pınarbaşı Şelale,,https://www.google.com/maps/place/P%C4%B1narba%C5%9F%C4%B1+%C5%9Eelale/data=!4m2!3m1!1s0x152ccf2b69d8c07b:0xf96ec64a106ad83d,,
Alaska Cafe & Bistro,,https://www.google.com/maps/place/Alaska+Cafe+%26+Bistro/data=!4m2!3m1!1s0x14cb596532ab3c7b:0x3f68f1cfec5712e3,,
Ülkü Pastanesi,,https://www.google.com/maps/place/%C3%9Clk%C3%BC+Pastanesi/data=!4m2!3m1!1s0x14ca145b533d1f4f:0xdea74c4a33818cca,,
Kartepe Kayak Merkezi,,https://www.google.com/maps/place/Kartepe+Kayak+Merkezi/data=!4m2!3m1!1s0x14cb59314e310cb1:0xcb61a9faac92abf5,,
Baycan beyin meşhur kahvesi,,https://www.google.com/maps/place/Baycan+beyin+me%C5%9Fhur+kahvesi/data=!4m2!3m1!1s0x14ca3d51b4e014ef:0x79b1ca2b0db6e234,,
Gökada Fırın Tonton Kayıhan,,https://www.google.com/maps/place/G%C3%B6kada+F%C4%B1r%C4%B1n+Tonton+Kay%C4%B1han/data=!4m2!3m1!1s0x14ca3d688ea6cf5f:0x597a98c6892646ac,,
Priştine Uluslararası Havalimanı,,https://www.google.com/maps/place/Pri%C5%9Ftine+Uluslararas%C4%B1+Havaliman%C4%B1/data=!4m2!3m1!1s0x13537ccdea831979:0x7bd7c5dfd98fabc,,
Mehmet Tanju Geye Dondurma,,https://www.google.com/maps/place/Mehmet+Tanju+Geye+Dondurma/data=!4m2!3m1!1s0x14ca3de048b58403:0xb6873c50ffa99813,,
Akay Çiğbörek,,https://www.google.com/maps/place/Akay+%C3%87i%C4%9Fb%C3%B6rek/data=!4m2!3m1!1s0x14ca3de37328060f:0x8b45d15f2524fce4,,
Armada Alışveriş ve İş Merkezi,,https://www.google.com/maps/place/Armada+Al%C4%B1%C5%9Fveri%C5%9F+ve+%C4%B0%C5%9F+Merkezi/data=!4m2!3m1!1s0x14d34f4b70fc2305:0xc99085df9dc02ed7,,
Shaban Grill House,,https://www.google.com/maps/place/Shaban+Grill+House/data=!4m2!3m1!1s0x13549ee0f6439b9d:0x796cc57a2c5d6b81,,
Kvarts coffee,,https://www.google.com/maps/place/Kvarts+coffee/data=!4m2!3m1!1s0x40440d119167dedb:0x65c78b804f907360,,
