Başlık,Not,URL,Etiketler,Yorum
,,,,
Sıla Konağı Sıra Gecesi Cafe,,https://www.google.com/maps/place/S%C4%B1la+Kona%C4%9F%C4%B1+S%C4%B1ra+Gecesi+Cafe/data=!4m2!3m1!1s0x400a4d1a2b7098db:0xabd9d8e1dc7dda85,,
MİDYAT GAP OTEL,,https://www.google.com/maps/place/M%C4%B0DYAT+GAP+OTEL/data=!4m2!3m1!1s0x400a4da4b8c5a84d:0x8a9339c421f59276,,
"Takıl Cafe ve Bar | Bornova Bar | Bornova Alkollü Mekan | Bornova Eğlenceli 
Mekan | Bornova Cafe",,https://www.google.com/maps/place/Tak%C4%B1l+Cafe+ve+Bar+%7C+Bornova+Bar+%7C+Bornova+Alkoll%C3%BC+Mekan+%7C+Bornova+E%C4%9Flenceli+%0AMekan+%7C+Bornova+Cafe/data=!4m2!3m1!1s0x14b97d2f5bc2a4db:0xe11d0195befd8155,,
Gusto Alaçatı 1865,,https://www.google.com/maps/place/Gusto+Ala%C3%A7at%C4%B1+1865/data=!4m2!3m1!1s0x14bb79692de2d329:0x3a9808cfbaed1889,,
Marianin yeri,,https://www.google.com/maps/place/Marianin+yeri/data=!4m2!3m1!1s0x407521c9fb4f9573:0xe9e4230639b0ceb6,,
