Başlık,Not,URL,Etiketler,Yorum
,,,,
Işık Üniversitesi,,https://www.google.com/maps/place/I%C5%9F%C4%B1k+%C3%9Cniversitesi/data=!4m2!3m1!1s0x14cab594da9bea3b:0x7f4a94b7357a8a2a,,
İTÜ Tuzla Kampüsü,,https://www.google.com/maps/place/%C4%B0T%C3%9C+Tuzla+Kamp%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cadd97da05ec75:0x1edc00d68f9f5d80,,
İTÜ Gümüşsuyu Kampüsü,,https://www.google.com/maps/place/%C4%B0T%C3%9C+G%C3%BCm%C3%BC%C5%9Fsuyu+Kamp%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cab77a87d6f8db:0x4129d85c53c12aa8,,
İstanbul Üniversitesi,,https://www.google.com/maps/place/%C4%B0stanbul+%C3%9Cniversitesi/data=!4m2!3m1!1s0x14cab98ddc3c6be3:0x4f51928bdbcd627a,,
Bahçeşehir Uğur Kurs,,https://www.google.com/maps/place/Bah%C3%A7e%C5%9Fehir+U%C4%9Fur+Kurs/data=!4m2!3m1!1s0x14cabb98e7196a45:0x198156c8a5162ee4,,
İstanbul Teknik Üniversitesi Mimarlık Fakültesi,,https://www.google.com/maps/place/%C4%B0stanbul+Teknik+%C3%9Cniversitesi+Mimarl%C4%B1k+Fak%C3%BCltesi/data=!4m2!3m1!1s0x14cab77197a68d47:0x7670a414023a7b37,,
İTÜ Maçka Kampüsü,,https://www.google.com/maps/place/%C4%B0T%C3%9C+Ma%C3%A7ka+Kamp%C3%BCs%C3%BC/data=!4m2!3m1!1s0x14cab774c51a6db3:0xb3e7fbe06419f4c3,,
